"filename", "language", "Java", "comment", "blank", "total"
"/Users/linke/modelApp.java/CheckIn.java", "Java", 41, 7, 6, 54
"/Users/linke/modelApp.java/DataMatch.java", "Java", 68, 17, 9, 94
"/Users/linke/modelApp.java/Event.java", "Java", 24, 8, 9, 41
"/Users/linke/modelApp.java/TestCase.java", "Java", -11, 0, -1, -12
"/Users/linke/modelApp.java/checkIn.java", "Java", 0, 0, -1, -1
"/Users/linke/modelApp.java/dataMatch.java", "Java", -24, -8, -6, -38
"/Users/linke/modelApp.java/scoreReport.java", "Java", 2, 0, 1, 3
"Total", "-", 100, 24, 17, 141
