"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"/Users/linke/modelApp.java/CheckIn.java", "Java", 41, 0, 8, 7, 56
"/Users/linke/modelApp.java/DataMatch.java", "Java", 72, 0, 18, 10, 100
"/Users/linke/modelApp.java/Event.java", "Java", 58, 0, 10, 14, 82
"/Users/linke/modelApp.java/Member.java", "Java", 80, 0, 9, 19, 108
"/Users/linke/modelApp.java/README.md", "Markdown", 0, 4, 0, 1, 5
"/Users/linke/modelApp.java/TestCase.java", "Java", 152, 0, 48, 21, 221
"/Users/linke/modelApp.java/scoreReport.java", "Java", 2, 0, 0, 2, 4
"/Users/linke/modelApp.java/validation/pack/Valid.java", "Java", 90, 0, 16, 14, 120
"Total", "-", 495, 4, 109, 88, 696
