"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"/Users/linke/modelApp.java/CheckIn.java", "Java", 41, 0, 7, 6, 54
"/Users/linke/modelApp.java/DataMatch.java", "Java", 68, 0, 17, 9, 94
"/Users/linke/modelApp.java/Event.java", "Java", 38, 0, 9, 11, 58
"/Users/linke/modelApp.java/Member.java", "Java", 80, 0, 9, 19, 108
"/Users/linke/modelApp.java/README.md", "Markdown", 0, 2, 0, 1, 3
"/Users/linke/modelApp.java/TestCase.java", "Java", 124, 0, 40, 17, 181
"/Users/linke/modelApp.java/scoreReport.java", "Java", 2, 0, 0, 2, 4
"/Users/linke/modelApp.java/validation/pack/Valid.java", "Java", 90, 0, 16, 14, 120
"Total", "-", 443, 2, 98, 79, 622
